,Date,ConfirmedCases,DailyCases
592182,2020-07-17,10013,96.0
595524,2020-07-18,10107,94.0
598866,2020-07-19,10196,89.0
602208,2020-07-20,10317,121.0
605550,2020-07-21,10414,97.0
608892,2020-07-22,10531,117.0
612234,2020-07-23,10627,96.0
615576,2020-07-24,10701,74.0
618918,2020-07-25,10771,70.0
622260,2020-07-26,10875,104.0
625602,2020-07-27,10953,78.0
628944,2020-07-28,11005,52.0
632286,2020-07-29,11084,79.0
635628,2020-07-30,11177,93.0
638970,2020-07-31,11267,90.0
642312,2020-08-01,11380,113.0
645654,2020-08-02,11470,90.0
648996,2020-08-03,11558,88.0
652338,2020-08-04,11689,131.0
655680,2020-08-05,11804,115.0
659022,2020-08-06,11926,122.0
662364,2020-08-07,12021,95.0
665706,2020-08-08,12155,134.0
669048,2020-08-09,12233,78.0
672390,2020-08-10,12312,79.0
675732,2020-08-11,12427,115.0
679074,2020-08-12,12511,84.0
682416,2020-08-13,12592,81.0
685758,2020-08-14,12693,101.0
689100,2020-08-15,12815,122.0
692442,2020-08-16,12892,77.0
695784,2020-08-17,13032,140.0
699126,2020-08-18,13151,119.0
702468,2020-08-19,13289,138.0
705810,2020-08-20,13410,121.0
709152,2020-08-21,13530,120.0
712494,2020-08-22,13686,156.0
715836,2020-08-23,13778,92.0
719178,2020-08-24,13909,131.0
722520,2020-08-25,14001,92.0
725862,2020-08-26,14103,102.0
729204,2020-08-27,14200,97.0
732546,2020-08-28,14299,99.0
735888,2020-08-29,14398,99.0
739230,2020-08-30,14493,95.0
742572,2020-08-31,14615,122.0
745914,2020-09-01,14679,64.0
749256,2020-09-02,14770,91.0
752598,2020-09-03,14840,70.0
755940,2020-09-04,15109,269.0
759282,2020-09-05,15247,138.0
762624,2020-09-06,15322,75.0
765966,2020-09-07,15385,63.0
769308,2020-09-08,15499,114.0
772650,2020-09-09,15592,93.0
775992,2020-09-10,15704,112.0
779334,2020-09-11,15826,122.0
782676,2020-09-12,15938,112.0
786018,2020-09-13,16022,84.0
789360,2020-09-14,16123,101.0
792702,2020-09-15,16209,86.0
796044,2020-09-16,16304,95.0
799386,2020-09-17,16374,70.0
802728,2020-09-18,16488,114.0
806070,2020-09-19,16622,134.0
809412,2020-09-20,16694,72.0
812754,2020-09-21,16799,105.0
816096,2020-09-22,16883,84.0
819438,2020-09-23,16955,72.0
822780,2020-09-24,17091,136.0
826122,2020-09-25,17253,162.0
829464,2020-09-26,17393,140.0
832806,2020-09-27,17471,78.0
836148,2020-09-28,17589,118.0
839490,2020-09-29,17690,101.0
842832,2020-09-30,17786,96.0
846174,2020-10-01,17873,87.0
849516,2020-10-02,18021,148.0
852858,2020-10-03,18129,108.0
856200,2020-10-04,18209,80.0
859542,2020-10-05,18305,96.0
862884,2020-10-06,18414,109.0
866226,2020-10-07,18583,169.0
869568,2020-10-08,18788,205.0
872910,2020-10-09,18985,197.0
876252,2020-10-10,19156,171.0
879594,2020-10-11,19310,154.0
882936,2020-10-12,19467,157.0
886278,2020-10-13,19640,173.0
889620,2020-10-14,19767,127.0
892962,2020-10-15,19967,200.0
896304,2020-10-16,20277,310.0
899646,2020-10-17,20477,200.0
902988,2020-10-18,20724,247.0
906330,2020-10-19,20947,223.0
909672,2020-10-20,21231,284.0
913014,2020-10-21,21470,239.0
916356,2020-10-22,21776,306.0
919698,2020-10-23,22100,324.0
923040,2020-10-24,22546,446.0
926382,2020-10-25,22783,237.0
929724,2020-10-26,23099,316.0
933066,2020-10-27,23408,309.0
936408,2020-10-28,23780,372.0
939750,2020-10-29,24240,460.0
943092,2020-10-30,24696,456.0
946434,2020-10-31,25201,505.0
949776,2020-11-01,25681,480.0
953118,2020-11-02,26065,384.0
956460,2020-11-03,26512,447.0
959802,2020-11-04,27065,553.0
963144,2020-11-05,27584,519.0
966486,2020-11-06,28834,1250.0
969828,2020-11-07,29541,707.0
973170,2020-11-08,30244,703.0
976512,2020-11-09,30977,733.0
979854,2020-11-10,31830,853.0
983196,2020-11-11,32487,657.0
986538,2020-11-12,33102,615.0
989880,2020-11-13,33851,749.0
993222,2020-11-14,34607,756.0
996564,2020-11-15,35284,677.0
999906,2020-11-16,35878,594.0
1003248,2020-11-17,36941,1063.0
1006590,2020-11-18,37632,691.0
1009932,2020-11-19,38670,1038.0
1013274,2020-11-20,39547,877.0
1016616,2020-11-21,40314,767.0
1019958,2020-11-22,41006,692.0
1023300,2020-11-23,41602,596.0
1026642,2020-11-24,42201,599.0
1029984,2020-11-25,42881,680.0
1033326,2020-11-26,43513,632.0
1036668,2020-11-27,44035,522.0
1040010,2020-11-28,44656,621.0
1043352,2020-11-29,45087,431.0
1046694,2020-11-30,45446,359.0
1050036,2020-12-01,47179,1733.0
1053378,2020-12-02,47742,563.0
1056720,2020-12-03,48499,757.0
1060062,2020-12-04,49311,812.0
1063404,2020-12-05,49976,665.0
1066746,2020-12-06,50484,508.0
1070088,2020-12-07,51051,567.0
1073430,2020-12-08,51672,621.0
1076772,2020-12-09,52300,628.0
1080114,2020-12-10,52882,582.0
1083456,2020-12-11,53456,574.0
1086798,2020-12-12,54080,624.0
1090140,2020-12-13,54533,453.0
1093482,2020-12-14,55013,480.0
1096824,2020-12-15,55495,482.0
1100166,2020-12-16,55941,446.0
1103508,2020-12-17,56512,571.0
1106850,2020-12-18,56881,369.0
1110192,2020-12-19,57421,540.0
1113534,2020-12-20,57784,363.0
1116876,2020-12-21,58048,264.0
1120218,2020-12-22,58402,354.0
1123560,2020-12-23,58741,339.0
1126902,2020-12-24,59212,471.0
1130244,2020-12-25,59577,365.0
1133586,2020-12-26,59758,181.0
1136928,2020-12-27,60077,319.0
1140270,2020-12-28,60473,396.0
1143612,2020-12-29,60839,366.0
1146954,2020-12-30,61271,432.0
1150296,2020-12-31,61805,534.0
1153638,2021-01-01,61805,0.0
1156980,2021-01-02,62676,871.0
1160322,2021-01-03,63022,346.0
1163664,2021-01-04,63396,374.0
1167006,2021-01-05,63831,435.0
1170348,2021-01-06,64259,428.0
1173690,2021-01-07,64755,496.0
1177032,2021-01-08,65385,630.0
1180374,2021-01-09,65784,399.0
1183716,2021-01-10,66084,300.0
1187058,2021-01-11,66414,330.0
1190400,2021-01-12,66858,444.0
1193742,2021-01-13,67271,413.0
1197084,2021-01-14,67651,380.0
1200426,2021-01-15,68156,505.0
1203768,2021-01-16,68534,378.0
1207110,2021-01-17,68737,203.0
1210452,2021-01-18,68970,233.0
1213794,2021-01-19,69285,315.0
1217136,2021-01-20,69579,294.0
1220478,2021-01-21,69900,321.0
1223820,2021-01-22,70324,424.0
1227162,2021-01-23,70712,388.0
1230504,2021-01-24,70890,178.0
1233846,2021-01-25,71070,180.0
1237188,2021-01-26,71323,253.0
