,date,ConfirmedCases,DailyCases,State_Tribe_Territory,County_Name,FIPS_State,FIPS_County,order_code,Face_Masks_Required_in_Public,Source_of_Action,URL,Citation,Population
274692,2020-04-13,1223,61.0,IL,DuPage County,17.0,43.0,2.0,0,0,0,0,932877
278034,2020-04-14,1312,89.0,IL,DuPage County,17.0,43.0,2.0,0,0,0,0,932877
281376,2020-04-15,1386,74.0,IL,DuPage County,17.0,43.0,2.0,0,0,0,0,932877
284718,2020-04-16,1463,77.0,IL,DuPage County,17.0,43.0,2.0,0,0,0,0,932877
288060,2020-04-17,1560,97.0,IL,DuPage County,17.0,43.0,2.0,0,0,0,0,932877
291402,2020-04-18,1642,82.0,IL,DuPage County,17.0,43.0,2.0,0,0,0,0,932877
294744,2020-04-19,1695,53.0,IL,DuPage County,17.0,43.0,2.0,0,0,0,0,932877
298086,2020-04-20,1761,66.0,IL,DuPage County,17.0,43.0,2.0,0,0,0,0,932877
301428,2020-04-21,1864,103.0,IL,DuPage County,17.0,43.0,2.0,0,0,0,0,932877
304770,2020-04-22,1947,83.0,IL,DuPage County,17.0,43.0,2.0,0,0,0,0,932877
308112,2020-04-23,2047,100.0,IL,DuPage County,17.0,43.0,2.0,0,0,0,0,932877
311454,2020-04-24,2219,172.0,IL,DuPage County,17.0,43.0,2.0,0,0,0,0,932877
314796,2020-04-25,2311,92.0,IL,DuPage County,17.0,43.0,2.0,0,0,0,0,932877
318138,2020-04-26,2443,132.0,IL,DuPage County,17.0,43.0,2.0,0,0,0,0,932877
321480,2020-04-27,2628,185.0,IL,DuPage County,17.0,43.0,2.0,0,0,0,0,932877
324822,2020-04-28,2736,108.0,IL,DuPage County,17.0,43.0,2.0,0,0,0,0,932877
328164,2020-04-29,2870,134.0,IL,DuPage County,17.0,43.0,2.0,0,0,0,0,932877
331506,2020-04-30,3081,211.0,IL,DuPage County,17.0,43.0,2.0,0,0,0,0,932877
334848,2020-05-01,3256,175.0,IL,DuPage County,17.0,43.0,1.0,Yes,Official,https://www2.illinois.gov/Documents/ExecOrders/2020/ExecutiveOrder-2020-32.pdf,"Ill. Exec. Order No. 2020-32 (Apr. 30, 2020)",932877
338190,2020-05-02,3432,176.0,IL,DuPage County,17.0,43.0,1.0,Yes,Official,https://www2.illinois.gov/Documents/ExecOrders/2020/ExecutiveOrder-2020-32.pdf,"Ill. Exec. Order No. 2020-32 (Apr. 30, 2020)",932877
